Season,Competition,Matchday,Date,Venue,Club,Opponent,Match_Result,Playing_Position,Type,Goal_assist,Total_Minutes_Match_Played,Ronaldo Team Goals,Opponent Team Goals
14/15,LaLiga,Early Rounds,10/05/14,Home,Real Madrid,Athletic Bilbao,5-00,LW,Deflected shot on goal,Pepe,89.0,5,00
14/15,LaLiga,Early Rounds,10/18/14,Away,Real Madrid,Levante UD,0-05,CF,Penalty,Unknown,13.0,0,05
14/15,LaLiga,Early Rounds,10/18/14,Away,Real Madrid,Levante UD,0-05,CF,Right-footed shot,Isco,61.0,0,05
14/15,UEFA Champions League,Group Stage,10/22/14,Away,Real Madrid,Liverpool FC,0-03,CF,Right-footed shot,James Rodriguez,23.0,0,03
14/15,LaLiga,Early Rounds,10/25/14,Home,Real Madrid,FC Barcelona,3-01,CF,Penalty,Unknown,35.0,3,01
14/15,LaLiga,Early Rounds,11/01/14,Away,Real Madrid,Granada CF,0-04,CF,Right-footed shot,Karim Benzema,2.0,0,04
14/15,LaLiga,Early Rounds,11/08/14,Home,Real Madrid,Rayo Vallecano,5-01,CF,Right-footed shot,Isco,83.0,5,01
14/15,LaLiga,Early Rounds,11/22/14,Away,Real Madrid,SD Eibar,0-04,CF,Right-footed shot,Daniel Carvajal,43.0,0,04
14/15,LaLiga,Early Rounds,11/22/14,Away,Real Madrid,SD Eibar,0-04,CF,Penalty,Unknown,83.0,0,04
14/15,UEFA Champions League,Group Stage,11/26/14,Away,Real Madrid,FC Basel 1893,0-01,LW,Left-footed shot,Karim Benzema,35.0,0,01
14/15,LaLiga,Early Rounds,12/06/14,Home,Real Madrid,Celta de Vigo,3-00,CF,Penalty,Unknown,36.0,3,00
14/15,LaLiga,Early Rounds,12/06/14,Home,Real Madrid,Celta de Vigo,3-00,CF,Right-footed shot,Unknown,65.0,3,00
14/15,LaLiga,Early Rounds,12/06/14,Home,Real Madrid,Celta de Vigo,3-00,CF,Left-footed shot,Marcelo,81.0,3,00
14/15,UEFA Champions League,Group Stage,12/09/14,Home,Real Madrid,Ludogorets Razgrad,4-00,CF ,Penalty,Unknown,20.0,4,00
14/15,LaLiga,Early Rounds,12/12/14,Away,Real Madrid,UD Almeria,1-04,CF,Right-footed shot,Karim Benzema,81.0,1,04
14/15,LaLiga,Early Rounds,12/12/14,Away,Real Madrid,UD Almeria,1-04,CF,Right-footed shot,Daniel Carvajal,89.0,1,04
14/15,LaLiga,Early Rounds,01/04/15,Away,Real Madrid,Valencia CF,2-01,LW,Penalty,Unknown,14.0,2,01
14/15,Copa del Rey,Last 16,1/15/15,Home,Real Madrid,Atletico de Madrid,2-02,CF,Header,Gareth Bale,54.0,2,02
14/15,LaLiga,Early Rounds,1/18/15,Away,Real Madrid,Getafe CF,0-03,LW,Left-footed shot,Karim Benzema,63.0,0,03
14/15,LaLiga,Early Rounds,1/18/15,Away,Real Madrid,Getafe CF,0-03,LW,Header,James Rodriguez,79.0,0,03
14/15,UEFA Champions League,Last 16,2/18/15,Away,Real Madrid,FC Schalke 04,0-02,LW,Header,Daniel Carvajal,26.0,0,02
14/15,LaLiga,Early Rounds,2/22/15,Away,Real Madrid,Elche CF,0-02,CF,Header,Isco,69.0,0,02
14/15,LaLiga,Early Rounds,03/01/15,Home,Real Madrid,Villarreal CF,1-01,CF,Penalty,Unknown,52.0,1,01
14/15,UEFA Champions League,Last 16,03/10/15,Home,Real Madrid,FC Schalke 04,3-04,CF,Header,Toni Kroos,25.0,3,04
14/15,UEFA Champions League,Last 16,03/10/15,Home,Real Madrid,FC Schalke 04,3-04,CF,Header,Fabio CoentrÃ£o,45.0,3,04
14/15,LaLiga,Early Rounds,3/22/15,Away,Real Madrid,FC Barcelona,2-01,LW,Right-footed shot,Karim Benzema,31.0,2,01
14/15,LaLiga,Early Rounds,04/05/15,Home,Real Madrid,Granada CF,9-01,CF,Right-footed shot,James Rodriguez,30.0,9,01
14/15,LaLiga,Early Rounds,04/05/15,Home,Real Madrid,Granada CF,9-01,CF,Right-footed shot,Unknown,36.0,9,01
14/15,LaLiga,Early Rounds,04/05/15,Home,Real Madrid,Granada CF,9-01,CF,Long distance kick,Gareth Bale,38.0,9,01
14/15,LaLiga,Early Rounds,04/05/15,Home,Real Madrid,Granada CF,9-01,CF,Header,Gareth Bale,54.0,9,01
14/15,LaLiga,Early Rounds,04/05/15,Home,Real Madrid,Granada CF,9-01,CF,Header,Luka Modric,90.0,9,01
14/15,LaLiga,Early Rounds,04/08/15,Away,Real Madrid,Rayo Vallecano,0-02,LW,Header,Daniel Carvajal,68.0,0,02
14/15,LaLiga,Early Rounds,04/11/15,Home,Real Madrid,SD Eibar,3-00,LW,Direct free kick,Unknown,21.0,3,00
14/15,LaLiga,Early Rounds,4/18/15,Home,Real Madrid,Malaga CF,3-01,CF,Left-footed shot,Chicharito,92.0,3,01
14/15,LaLiga,Early Rounds,05/02/15,Away,Real Madrid,Sevilla FC,2-03,CF,Header,Isco,36.0,2,03
14/15,LaLiga,Early Rounds,05/02/15,Away,Real Madrid,Sevilla FC,2-03,CF,Right-footed shot,Chicharito,37.0,2,03
14/15,LaLiga,Early Rounds,05/02/15,Away,Real Madrid,Sevilla FC,2-03,CF,Header,Gareth Bale,69.0,2,03
14/15,UEFA Champions League,Semi-Finals,05/05/15,Away,Real Madrid,Juventus FC,2-01,CF,Header,James Rodriguez,27.0,2,01
14/15,UEFA Champions League,Semi-Finals,5/13/15,Home,Real Madrid,Juventus FC,1-01,LW,Penalty,Unknown,23.0,1,01
14/15,LaLiga,Early Rounds,5/17/15,Away,Real Madrid,RCD Espanyol Barcelona,1-04,LW,Left-footed shot,Karim Benzema,59.0,1,04
14/15,LaLiga,Early Rounds,5/17/15,Away,Real Madrid,RCD Espanyol Barcelona,1-04,LW,Right-footed shot,Chicharito,83.0,1,04
14/15,LaLiga,Early Rounds,5/17/15,Away,Real Madrid,RCD Espanyol Barcelona,1-04,LW,Header,James Rodriguez,91.0,1,04
14/15,LaLiga,Early Rounds,5/23/15,Home,Real Madrid,Getafe CF,7-03,LW,Header,Marcelo,13.0,7,03
14/15,LaLiga,Early Rounds,5/23/15,Home,Real Madrid,Getafe CF,7-03,LW,Direct free kick,Unknown,32.0,7,03
14/15,LaLiga,Early Rounds,5/23/15,Home,Real Madrid,Getafe CF,7-03,LW,Penalty,Unknown,34.0,7,03
15/16,LaLiga,Early Rounds,09/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0-06,LW,Right-footed shot,Luka Modric,7.0,0,06
15/16,LaLiga,Early Rounds,09/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0-06,LW,Penalty,Unknown,17.0,0,06
15/16,LaLiga,Early Rounds,09/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0-06,LW,Left-footed shot,Gareth Bale,20.0,0,06
15/16,LaLiga,Early Rounds,09/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0-06,LW,Right-footed shot,Gareth Bale,62.0,0,06
15/16,LaLiga,Early Rounds,09/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0-06,LW,Right-footed shot,Lucas Vazquez,81.0,0,06
15/16,UEFA Champions League,Group Stage,9/15/15,Home,Real Madrid,Shakhtar Donetsk,4-00,LW,Penalty,Unknown,56.0,4,00
15/16,UEFA Champions League,Group Stage,9/15/15,Home,Real Madrid,Shakhtar Donetsk,4-00,LW,Penalty,Unknown,64.0,4,00
15/16,UEFA Champions League,Group Stage,9/15/15,Home,Real Madrid,Shakhtar Donetsk,4-00,LW,Header,Unknown,82.0,4,00
15/16,UEFA Champions League,Group Stage,9/30/15,Away,Real Madrid,MalmÃ¶ FF,0-02,LW ,Right-footed shot,Isco,29.0,0,02
15/16,UEFA Champions League,Group Stage,9/30/15,Away,Real Madrid,MalmÃ¶ FF,0-02,LW ,Left-footed shot,Lucas Vazquez,90.0,0,02
15/16,LaLiga,Early Rounds,10/17/15,Home,Real Madrid,Levante UD,3-00,CF,Right-footed shot,Toni Kroos,30.0,3,00
15/16,LaLiga,Early Rounds,10/24/15,Away,Real Madrid,Celta de Vigo,1-03,CF,Right-footed shot,Lucas Vazquez,8.0,1,03
15/16,LaLiga,Early Rounds,10/31/15,Home,Real Madrid,UD Las Palmas,3-01,CF,Header,Marcelo,14.0,3,01
15/16,UEFA Champions League,Group Stage,11/25/15,Away,Real Madrid,Shakhtar Donetsk,3-04,CF,Header,Gareth Bale,18.0,3,04
15/16,UEFA Champions League,Group Stage,11/25/15,Away,Real Madrid,Shakhtar Donetsk,3-04,CF,Right-footed shot,Gareth Bale,70.0,3,04
15/16,LaLiga,Early Rounds,11/29/15,Away,Real Madrid,SD Eibar,0-02,CF,Penalty,Unknown,82.0,0,02
15/16,LaLiga,Early Rounds,12/05/15,Home,Real Madrid,Getafe CF,4-01,LW,Right-footed shot,Toni Kroos,38.0,4,01
15/16,UEFA Champions League,Group Stage,12/08/15,Home,Real Madrid,MalmÃ¶ FF,8-00,LW,Direct free kick,Unknown,39.0,8,00
15/16,UEFA Champions League,Group Stage,12/08/15,Home,Real Madrid,MalmÃ¶ FF,8-00,LW,Tap-in,Unknown,47.0,8,00
15/16,UEFA Champions League,Group Stage,12/08/15,Home,Real Madrid,MalmÃ¶ FF,8-00,LW,Right-footed shot,Danilo,50.0,8,00
15/16,UEFA Champions League,Group Stage,12/08/15,Home,Real Madrid,MalmÃ¶ FF,8-00,LW,Right-footed shot,Isco,59.0,8,00
15/16,LaLiga,Early Rounds,12/20/15,Home,Real Madrid,Rayo Vallecano,10-02,LW,Penalty,Unknown,30.0,10,02
15/16,LaLiga,Early Rounds,12/20/15,Home,Real Madrid,Rayo Vallecano,10-02,LW,Header,James Rodriguez,54.0,10,02
15/16,LaLiga,Early Rounds,12/30/15,Home,Real Madrid,Real Sociedad,3-01,LW,Penalty,Unknown,42.0,3,01
15/16,LaLiga,Early Rounds,12/30/15,Home,Real Madrid,Real Sociedad,3-01,LW,Left-footed shot,Marcelo,68.0,3,01
15/16,LaLiga,Early Rounds,1/17/16,Home,Real Madrid,Sporting GijÃ³n,5-01,LW,Left-footed shot,Karim Benzema,9.0,5,01
15/16,LaLiga,Early Rounds,1/17/16,Home,Real Madrid,Sporting GijÃ³n,5-01,LW,Left-footed shot,Daniel Carvajal,18.0,5,01
15/16,LaLiga,Early Rounds,1/31/16,Home,Real Madrid,RCD Espanyol Barcelona,6-00,LW,Penalty,Unknown,12.0,6,00
15/16,LaLiga,Early Rounds,1/31/16,Home,Real Madrid,RCD Espanyol Barcelona,6-00,LW,Left-footed shot,Unknown,45.0,6,00
15/16,LaLiga,Early Rounds,1/31/16,Home,Real Madrid,RCD Espanyol Barcelona,6-00,LW,Header,Jese,82.0,6,00
15/16,LaLiga,Early Rounds,2/13/16,Home,Real Madrid,Athletic Bilbao,4-02,LW,Right-footed shot,Karim Benzema,3.0,4,02
15/16,LaLiga,Early Rounds,2/13/16,Home,Real Madrid,Athletic Bilbao,4-02,LW,Right-footed shot,Lucas Vazquez,87.0,4,02
15/16,UEFA Champions League,Last 16,2/17/16,Away,Real Madrid,AS Roma,0-02,LW,Right-footed shot,Marcelo,57.0,0,02
15/16,LaLiga,Early Rounds,2/21/16,Away,Real Madrid,Malaga CF,1-01,LW,Header,Toni Kroos,33.0,1,01
15/16,LaLiga,Early Rounds,03/02/16,Away,Real Madrid,Levante UD,1-03,LW,Penalty,Unknown,34.0,1,03
15/16,LaLiga,Early Rounds,03/05/16,Home,Real Madrid,Celta de Vigo,7-01,LW,Long distance kick,Sergio Ramos,50.0,7,01
15/16,LaLiga,Early Rounds,03/05/16,Home,Real Madrid,Celta de Vigo,7-01,LW,Direct free kick,Unknown,58.0,7,01
15/16,LaLiga,Early Rounds,03/05/16,Home,Real Madrid,Celta de Vigo,7-01,LW,Right-footed shot,Isco,64.0,7,01
15/16,LaLiga,Early Rounds,03/05/16,Home,Real Madrid,Celta de Vigo,7-01,LW,Header,Jese,76.0,7,01
15/16,UEFA Champions League,Last 16,03/08/16,Home,Real Madrid,AS Roma,2-00,CF,Right-footed shot,Lucas Vazquez,64.0,2,00
15/16,LaLiga,Early Rounds,3/20/16,Home,Real Madrid,Sevilla FC,4-00,LW,Left-footed shot,Danilo,64.0,4,00
15/16,LaLiga,Early Rounds,04/02/16,Away,Real Madrid,FC Barcelona,1-02,LW,Right-footed shot,Gareth Bale,85.0,1,02
15/16,LaLiga,Early Rounds,04/09/16,Home,Real Madrid,SD Eibar,4-00,CF,Right-footed shot,Jese,19.0,4,00
15/16,UEFA Champions League,Quarter-Finals,04/12/16,Home,Real Madrid,VfL Wolfsburg,3-00,LW,Right-footed shot,Daniel Carvajal,16.0,3,00
15/16,UEFA Champions League,Quarter-Finals,04/12/16,Home,Real Madrid,VfL Wolfsburg,3-00,LW,Header,Toni Kroos,17.0,3,00
15/16,UEFA Champions League,Quarter-Finals,04/12/16,Home,Real Madrid,VfL Wolfsburg,3-00,LW,Direct free kick,Unknown,77.0,3,00
15/16,LaLiga,Early Rounds,4/16/16,Away,Real Madrid,Getafe CF,1-05,LW,Left-footed shot,Jese,92.0,1,05
15/16,LaLiga,Early Rounds,05/08/16,Home,Real Madrid,Valencia CF,3-02,LW,Right-footed shot,Marcelo,26.0,3,02
15/16,LaLiga,Early Rounds,05/08/16,Home,Real Madrid,Valencia CF,3-02,LW,Left-footed shot,James Rodriguez,59.0,3,02
15/16,LaLiga,Early Rounds,5/14/16,Away,Real Madrid,Deportivo de La CoruÃ±a,0-02,LW,Left-footed shot,Karim Benzema,8.0,0,02
15/16,LaLiga,Early Rounds,5/14/16,Away,Real Madrid,Deportivo de La CoruÃ±a,0-02,LW,Header,Toni Kroos,25.0,0,02
16/17,LaLiga,Early Rounds,09/10/16,Home,Real Madrid,CA Osasuna,5-02,LW,Right-footed shot,Gareth Bale,6.0,5,02
16/17,UEFA Champions League,Group Stage,9/14/16,Home,Real Madrid,Sporting CP,2-01,LW,Direct free kick,Unknown,89.0,2,01
16/17,UEFA Champions League,Group Stage,9/27/16,Away,Real Madrid,Borussia Dortmund,2-02,LW,Right-footed shot,Gareth Bale,17.0,2,02
16/17,LaLiga,Early Rounds,10/15/16,Away,Real Madrid,Real Betis Balompie,1-06,LW,Right-footed shot,alvaro Morata,78.0,1,06
16/17,LaLiga,Early Rounds,10/29/16,Away,Real Madrid,Deportivo Alaves,1-04,LW,Penalty,Unknown,17.0,1,04
16/17,LaLiga,Early Rounds,10/29/16,Away,Real Madrid,Deportivo Alaves,1-04,LW,Right-footed shot,Karim Benzema,33.0,1,04
16/17,LaLiga,Early Rounds,10/29/16,Away,Real Madrid,Deportivo Alaves,1-04,LW,Right-footed shot,Marcelo,88.0,1,04
16/17,LaLiga,Early Rounds,11/19/16,Away,Real Madrid,Atletico de Madrid,0-03,CF,Direct free kick,Unknown,23.0,0,03
16/17,LaLiga,Early Rounds,11/19/16,Away,Real Madrid,Atletico de Madrid,0-03,CF,Penalty,Unknown,71.0,0,03
16/17,LaLiga,Early Rounds,11/19/16,Away,Real Madrid,Atletico de Madrid,0-03,CF,Right-footed shot,Gareth Bale,77.0,0,03
16/17,LaLiga,Early Rounds,11/26/16,Home,Real Madrid,Sporting GijÃ³n,2-01,LW,Penalty,Unknown,5.0,2,01
16/17,LaLiga,Early Rounds,11/26/16,Home,Real Madrid,Sporting GijÃ³n,2-01,LW,Header,Nacho Fernandez,18.0,2,01
16/17,FIFA Club World Cup,Semi-Finals,12/15/16,Away,Real Madrid,CF America,0-02,LW,Right-footed shot,James Rodriguez,93.0,0,02
16/17,FIFA Club World Cup,Final,12/18/16,Home,Real Madrid,Kashima Antlers,4-2 AET,LW,Penalty,Unknown,60.0,4,2 AET
16/17,FIFA Club World Cup,Final,12/18/16,Home,Real Madrid,Kashima Antlers,4-2 AET,LW,Left-footed shot,Karim Benzema,97.0,4,2 AET
16/17,FIFA Club World Cup,Final,12/18/16,Home,Real Madrid,Kashima Antlers,4-2 AET,LW,Left-footed shot,Toni Kroos,104.0,4,2 AET
16/17,LaLiga,Early Rounds,01/07/17,Home,Real Madrid,Granada CF,5-00,LW,Header,Marcelo,27.0,5,00
16/17,LaLiga,Early Rounds,1/15/17,Away,Real Madrid,Sevilla FC,2-01,CF,Penalty,Unknown,67.0,2,01
16/17,Copa del Rey,Quarter-Finals,1/25/17,Away,Real Madrid,Celta de Vigo,2-02,CF,Direct free kick,Unknown,62.0,2,02
16/17,LaLiga,Early Rounds,1/29/17,Home,Real Madrid,Real Sociedad,3-00,LW,Right-footed shot,Mateo Kovacic,51.0,3,00
16/17,LaLiga,Early Rounds,02/11/17,Away,Real Madrid,CA Osasuna,1-03,CF,Right-footed shot,Karim Benzema,24.0,1,03
16/17,LaLiga,Early Rounds,2/22/17,Away,Real Madrid,Valencia CF,2-01,LW,Header,Marcelo,44.0,2,01
16/17,LaLiga,Early Rounds,2/26/17,Away,Real Madrid,Villarreal CF,2-03,LW,Penalty,Unknown,74.0,2,03
16/17,LaLiga,Early Rounds,03/01/17,Home,Real Madrid,UD Las Palmas,3-03,LW,Penalty,Unknown,86.0,3,03
16/17,LaLiga,Early Rounds,03/01/17,Home,Real Madrid,UD Las Palmas,3-03,LW,Header,James Rodriguez,89.0,3,03
16/17,LaLiga,Early Rounds,03/12/17,Home,Real Madrid,Real Betis Balompie,2-01,LW,Header,Marcelo,41.0,2,01
16/17,UEFA Champions League,Quarter-Finals,04/12/17,Away,Real Madrid,Bayern Munich,1-02,LW,Right-footed shot,Daniel Carvajal,47.0,1,02
16/17,UEFA Champions League,Quarter-Finals,04/12/17,Away,Real Madrid,Bayern Munich,1-02,LW,Right-footed shot,Marco Asensio,77.0,1,02
16/17,UEFA Champions League,Quarter-Finals,4/18/17,Home,Real Madrid,Bayern Munich,4-2 AET,CF,Header,Casemiro,76.0,4,2 AET
16/17,UEFA Champions League,Quarter-Finals,4/18/17,Home,Real Madrid,Bayern Munich,4-2 AET,CF,Left-footed shot,Sergio Ramos,105.0,4,2 AET
16/17,UEFA Champions League,Quarter-Finals,4/18/17,Home,Real Madrid,Bayern Munich,4-2 AET,CF,Right-footed shot,Marcelo,109.0,4,2 AET
16/17,LaLiga,Early Rounds,4/29/17,Home,Real Madrid,Valencia CF,2-01,LW,Header,Daniel Carvajal,27.0,2,01
16/17,UEFA Champions League,Semi-Finals,05/02/17,Home,Real Madrid,Atletico de Madrid,3-00,CF,Header,Casemiro,10.0,3,00
16/17,UEFA Champions League,Semi-Finals,05/02/17,Home,Real Madrid,Atletico de Madrid,3-00,CF,Right-footed shot,Karim Benzema,73.0,3,00
16/17,UEFA Champions League,Semi-Finals,05/02/17,Home,Real Madrid,Atletico de Madrid,3-00,CF,Right-footed shot,Lucas Vazquez,86.0,3,00
16/17,LaLiga,Early Rounds,5/14/17,Home,Real Madrid,Sevilla FC,4-01,LW,Right-footed shot,Unknown,23.0,4,01
16/17,LaLiga,Early Rounds,5/14/17,Home,Real Madrid,Sevilla FC,4-01,LW,Left-footed shot,Toni Kroos,78.0,4,01
16/17,LaLiga,Early Rounds,5/17/17,Away,Real Madrid,Celta de Vigo,1-04,CF,Left-footed shot,Unknown,10.0,1,04
16/17,LaLiga,Early Rounds,5/17/17,Away,Real Madrid,Celta de Vigo,1-04,CF,Left-footed shot,Isco,48.0,1,04
16/17,LaLiga,Early Rounds,5/21/17,Away,Real Madrid,Malaga CF,0-02,CF,Right-footed shot,Isco,2.0,0,02
16/17,UEFA Champions League,Final,06/03/17,Away,Real Madrid,Juventus FC,1-04,CF,Right-footed shot,Daniel Carvajal,20.0,1,04
16/17,UEFA Champions League,Final,06/03/17,Away,Real Madrid,Juventus FC,1-04,CF,Right-footed shot,Luka Modric,64.0,1,04
17/18,Supercopa,Final,8/13/17,Away,Real Madrid,FC Barcelona,1-03,CF,Right-footed shot,Isco,80.0,1,03
17/18,UEFA Champions League,Group Stage,9/13/17,Home,Real Madrid,APOEL Nicosia,3-00,CF,Counter attack goal,Gareth Bale,12.0,3,00
17/18,UEFA Champions League,Group Stage,9/13/17,Home,Real Madrid,APOEL Nicosia,3-00,CF,Penalty,Unknown,51.0,3,00
17/18,UEFA Champions League,Group Stage,9/26/17,Away,Real Madrid,Borussia Dortmund,1-03,CF,Left-footed shot,Gareth Bale,49.0,1,03
17/18,UEFA Champions League,Group Stage,9/26/17,Away,Real Madrid,Borussia Dortmund,1-03,CF,Right-footed shot,Luka Modric,79.0,1,03
17/18,LaLiga,Early Rounds,10/14/17,Away,Real Madrid,Getafe CF,1-02,CF,Right-footed shot,Isco,85.0,1,02
17/18,UEFA Champions League,Group Stage,10/17/17,Home,Real Madrid,Tottenham Hotspur,1-01,LW,Penalty,Unknown,43.0,1,01
17/18,UEFA Champions League,Group Stage,11/01/17,Away,Real Madrid,Tottenham Hotspur,3-01,LW,Right-footed shot,Borja Mayoral,80.0,3,01
17/18,UEFA Champions League,Group Stage,11/21/17,Away,Real Madrid,APOEL Nicosia,0-06,LW,Header,Marcelo,49.0,0,06
17/18,UEFA Champions League,Group Stage,11/21/17,Away,Real Madrid,APOEL Nicosia,0-06,LW,Left-footed shot,Unknown,54.0,0,06
17/18,LaLiga,Early Rounds,11/25/17,Home,Real Madrid,Malaga CF,3-02,CF,Penalty rebound,Unknown,76.0,3,02
17/18,UEFA Champions League,Group Stage,12/06/17,Home,Real Madrid,Borussia Dortmund,3-02,LW,Right-footed shot,Mateo Kovacic,12.0,3,02
17/18,LaLiga,Early Rounds,12/09/17,Home,Real Madrid,Sevilla FC,5-00,CF,Right-footed shot,Marco Asensio,23.0,5,00
17/18,LaLiga,Early Rounds,12/09/17,Home,Real Madrid,Sevilla FC,5-00,CF,Penalty,Unknown,31.0,5,00
17/18,FIFA Club World Cup,Semi-Finals,12/13/17,Away,Real Madrid,Al-Jazira (Abu Dhabi),1-02,LW,Right-footed shot,Luka Modric,53.0,1,02
17/18,FIFA Club World Cup,Final,12/16/17,Home,Real Madrid,GrÃªmio Foot-Ball Porto Alegrense,1-00,LW,Direct free kick,Unknown,53.0,1,00
17/18,LaLiga,Early Rounds,1/21/18,Home,Real Madrid,Deportivo de La CoruÃ±a,7-01,LW,Left-footed shot,Casemiro,78.0,7,01
17/18,LaLiga,Early Rounds,1/21/18,Home,Real Madrid,Deportivo de La CoruÃ±a,7-01,LW,Header,Lucas Vazquez,84.0,7,01
17/18,LaLiga,Early Rounds,1/27/18,Away,Real Madrid,Valencia CF,1-04,LW,Penalty,Unknown,16.0,1,04
17/18,LaLiga,Early Rounds,1/27/18,Away,Real Madrid,Valencia CF,1-04,LW,Penalty,Unknown,38.0,1,04
17/18,LaLiga,Early Rounds,02/10/18,Home,Real Madrid,Real Sociedad,5-02,CF,Right-footed shot,Marcelo,27.0,5,02
17/18,LaLiga,Early Rounds,02/10/18,Home,Real Madrid,Real Sociedad,5-02,CF,Header,Luka Modric,37.0,5,02
17/18,LaLiga,Early Rounds,02/10/18,Home,Real Madrid,Real Sociedad,5-02,CF,Tap-in,Unknown,80.0,5,02
17/18,UEFA Champions League,Last 16,2/14/18,Home,Real Madrid,Paris Saint-Germain,3-01,LW,Penalty,Unknown,45.0,3,01
17/18,UEFA Champions League,Last 16,2/14/18,Home,Real Madrid,Paris Saint-Germain,3-01,LW,Tap-in,Unknown,83.0,3,01
17/18,LaLiga,Early Rounds,2/18/18,Away,Real Madrid,Real Betis Balompie,3-05,CF,Right-footed shot,Casemiro,65.0,3,05
17/18,LaLiga,Early Rounds,2/24/18,Home,Real Madrid,Deportivo Alaves,4-00,CF ,Left-footed shot,Karim Benzema,44.0,4,00
17/18,LaLiga,Early Rounds,2/24/18,Home,Real Madrid,Deportivo Alaves,4-00,CF ,Right-footed shot,Lucas Vazquez,61.0,4,00
17/18,LaLiga,Early Rounds,03/03/18,Home,Real Madrid,Getafe CF,3-01,CF,Left-footed shot,Karim Benzema,46.0,3,01
17/18,LaLiga,Early Rounds,03/03/18,Home,Real Madrid,Getafe CF,3-01,CF,Header,Marcelo,78.0,3,01
17/18,UEFA Champions League,Last 16,03/06/18,Away,Real Madrid,Paris Saint-Germain,1-02,CF,Header,Lucas Vazquez,51.0,1,02
17/18,LaLiga,Early Rounds,03/10/18,Away,Real Madrid,SD Eibar,1-02,CF,Right-footed shot,Luka Modric,33.0,1,02
17/18,LaLiga,Early Rounds,03/10/18,Away,Real Madrid,SD Eibar,1-02,CF,Header,Daniel Carvajal,84.0,1,02
17/18,LaLiga,Early Rounds,3/18/18,Home,Real Madrid,Girona FC,6-03,CF,Left-footed shot,Toni Kroos,11.0,6,03
17/18,LaLiga,Early Rounds,3/18/18,Home,Real Madrid,Girona FC,6-03,CF,Left-footed shot,Karim Benzema,47.0,6,03
17/18,LaLiga,Early Rounds,3/18/18,Home,Real Madrid,Girona FC,6-03,CF,Tap-in,Unknown,64.0,6,03
17/18,LaLiga,Early Rounds,3/18/18,Home,Real Madrid,Girona FC,6-03,CF,Right-footed shot,Toni Kroos,91.0,6,03
17/18,UEFA Champions League,Quarter-Finals,04/03/18,Away,Real Madrid,Juventus FC,0-03,CF,Right-footed shot,Isco,3.0,0,03
17/18,UEFA Champions League,Quarter-Finals,04/03/18,Away,Real Madrid,Juventus FC,0-03,CF,Right-footed shot,Daniel Carvajal,64.0,0,03
17/18,LaLiga,Early Rounds,04/08/18,Home,Real Madrid,Atletico de Madrid,1-01,CF,Right-footed shot,Gareth Bale,53.0,1,01
17/18,UEFA Champions League,Quarter-Finals,04/11/18,Home,Real Madrid,Juventus FC,1-03,CF,Penalty,Unknown,97.0,1,03
17/18,LaLiga,Early Rounds,4/18/18,Home,Real Madrid,Athletic Bilbao,1-01,CF,Right-footed shot,Luka Modric,87.0,1,01
17/18,LaLiga,Early Rounds,05/06/18,Away,Real Madrid,FC Barcelona,2-02,LW,Right-footed shot,Karim Benzema,14.0,2,02
17/18,LaLiga,Early Rounds,5/19/18,Away,Real Madrid,Villarreal CF,2-02,CF,Header,Marcelo,32.0,2,02
18/19,Serie A,Early Rounds,9/16/18,Home,Juventus FC,US Sassuolo,2-01,CF,Tap-in,Unknown,50.0,2,01
18/19,Serie A,Early Rounds,9/16/18,Home,Juventus FC,US Sassuolo,2-01,CF,Left-footed shot,Emre Can,65.0,2,01
18/19,Serie A,Early Rounds,9/23/18,Away,Juventus FC,Frosinone Calcio,0-02,LW,Left-footed shot,Unknown,81.0,0,02
18/19,Serie A,Early Rounds,10/06/18,Away,Juventus FC,Udinese Calcio,0-02,LW,Left-footed shot,Mario Mandzukic,37.0,0,02
18/19,Serie A,Early Rounds,10/20/18,Home,Juventus FC,Genoa CFC,1-01,LW,Tap-in,Unknown,18.0,1,01
18/19,Serie A,Early Rounds,10/27/18,Away,Juventus FC,Empoli FC ,1-02,CF,Penalty,Unknown,54.0,1,02
18/19,Serie A,Early Rounds,10/27/18,Away,Juventus FC,Empoli FC ,1-02,CF,Right-footed shot,Blaise Matuidi,70.0,1,02
18/19,UEFA Champions League,Group Stage,11/07/18,Home,Juventus FC,Manchester United,1-02,CF,Right-footed shot,Leonardo Bonucci,65.0,1,02
18/19,Serie A,Early Rounds,11/11/18,Away,Juventus FC,AC Milan,0-02,LW,Tap-in,Unknown,81.0,0,02
18/19,Serie A,Early Rounds,11/24/18,Home,Juventus FC,SPAL,2-00,CF,Left-footed shot,Miralem Pjanic,29.0,2,00
18/19,Serie A,Early Rounds,12/01/18,Away,Juventus FC,ACF Fiorentina,0-03,LW,Penalty,Unknown,79.0,0,03
18/19,Serie A,Early Rounds,12/15/18,Away,Juventus FC,Torino FC,0-01,LW,Penalty,Unknown,70.0,0,01
18/19,Serie A,Early Rounds,12/26/18,Away,Juventus FC,Atalanta BC,2-02,CF,Header,Giorgio Chiellini,78.0,2,02
